protein,missingness_percentage
EIF3K,10.588235294117647
MSN,0.0
TUBB4B,0.0
PARK7,10.588235294117647
INHBE,17.647058823529413
MPST,24.705882352941178
SERPINA4,0.0
ATRN,0.0
SERPINF1,0.0
GP1BA,0.0
H2BC12,7.0588235294117645
GNAI2,0.0
TPM2,0.0
CDC37,2.3529411764705883
PMEL,4.705882352941177
CETP,0.0
LRRFIP2,5.88235294117647
PRDX3,4.705882352941177
APPL2,15.294117647058824
CTTN,0.0
PAM,0.0
RAB8A,1.1764705882352942
NDUFA2,24.705882352941178
IGHV3-72,1.1764705882352942
NUCB1,0.0
EMILIN1,1.1764705882352942
IGFBP6,2.3529411764705883
RP2,23.52941176470588
PROZ,0.0
CD93,0.0
C1RL,1.1764705882352942
EMD,2.3529411764705883
KRT80,2.3529411764705883
NCK2,16.470588235294116
PECAM1,0.0
CSPG4,0.0
SPARC,0.0
AXL,2.3529411764705883
CRP,0.0
ARHGDIB,1.1764705882352942
IGF1,17.647058823529413
IL6ST,14.117647058823529
PSMC3,1.1764705882352942
CRLF3,9.411764705882353
CANX,0.0
HLA-B,0.0
HLA-C,8.235294117647058
ATP5F1D,4.705882352941177
PON3,0.0
VCAN,0.0
LPL,10.588235294117647
MMRN1,0.0
KRT3,0.0
HSPA9,11.76470588235294
PTGDS,1.1764705882352942
HSPA1A,1.1764705882352942
ANPEP,3.5294117647058822
HSPB1,0.0
L1CAM,1.1764705882352942
AHSG,0.0
F13A1,0.0
PRKCSH,0.0
ASAP1,12.941176470588237
FLOT1,4.705882352941177
CFHR3,23.52941176470588
USP5,0.0
PI16,0.0
SERPINA7,0.0
KRT4,0.0
STX11,1.1764705882352942
CDHR2,1.1764705882352942
HSPA8,0.0
APOBR,3.5294117647058822
PARVB,0.0
MYCT1,7.0588235294117645
GLIPR2,8.235294117647058
TPM4,2.3529411764705883
APOC3,0.0
COPS6,1.1764705882352942
GP6,0.0
ARPC2,0.0
KRT8,9.411764705882353
SORL1,7.0588235294117645
ARPC1B,1.1764705882352942
EIF4G2,15.294117647058824
PLXDC2,0.0
COX4I1,5.88235294117647
PSMB5,0.0
LBP,0.0
COPS7B,10.588235294117647
PRDX2,0.0
PSMA4,0.0
KPRP,4.705882352941177
CDH23,1.1764705882352942
TPM1,2.3529411764705883
PSMB7,0.0
APOH,0.0
PODXL,0.0
KRT6B,0.0
NRP1,0.0
RAB7A,1.1764705882352942
HABP2,0.0
LRRC59,4.705882352941177
PTPRG,0.0
CFD,5.88235294117647
PSMB10,11.76470588235294
LYZ,1.1764705882352942
PCOLCE,1.1764705882352942
DAG1,9.411764705882353
MYL9,0.0
LPA,0.0
UQCRC2,11.76470588235294
ATP1A1,16.470588235294116
PSMC5,11.76470588235294
THBS3,2.3529411764705883
CPB2,0.0
TUBA1C,0.0
CDH19,1.1764705882352942
HP,0.0
PTPRJ,0.0
APP,0.0
RAC2,0.0
GPI,16.470588235294116
INF2,7.0588235294117645
RHOG,9.411764705882353
F11R,0.0
SERPINA1,0.0
TUBA8,1.1764705882352942
SNX2,3.5294117647058822
GAS6,0.0
KIT,5.88235294117647
CA2,12.941176470588237
PKP1,11.76470588235294
VTN,0.0
MPO,8.235294117647058
KIAA0513,2.3529411764705883
SH3GL1,20.0
